title,year,actors_count,actresses_count,producer_count_male,producer_count_female,director_count,directress_count,averageRating,numVotes,budget,revenue,actress_percent,actors_percent,women_directing_percent,men_directing_percent,women_producing_percent,men_producing_percent,Animation,Family,Fantasy,Musical,Romance,Music,Adventure,Drama,Crime,Thriller,Documentary,Horror,Action,Western,Comedy,War,Sci-Fi,Sport,History,Biography,Mystery,Film-Noir,Adult,revenue_budget,class,moviesByYear
doom,2005,19,5,8,1,1,0,5.2,117053,60000000.0,55987321.0,21.0,79.0,0.0,100.0,11.0,89.0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0.9331220166666667,0,102
in_the_land_of_women,2007,9,16,3,1,1,0,6.4,32360,10000000.0,17500000.0,64.0,36.0,0.0,100.0,25.0,75.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.75,0,86
the_tale_of_despereaux,2008,17,9,7,4,2,0,6.1,39377,60000000.0,50877145.0,35.0,65.0,0.0,100.0,36.0,64.0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.8479524166666667,0,103
arachnophobia,1990,19,13,7,1,1,0,6.5,73777,31000000.0,53208180.0,41.0,59.0,0.0,100.0,12.0,88.0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1.7163929032258065,0,23
master_and_commander:_the_far_side_of_the_world,2003,27,0,8,0,1,0,7.5,231686,150000000.0,212011111.0,0.0,100.0,0.0,100.0,0.0,100.0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1.4134074066666666,0,92
lara_croft:_tomb_raider,2001,21,6,10,0,1,0,5.7,215452,115000000.0,274703340.0,22.0,78.0,0.0,100.0,0.0,100.0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2.388724695652174,1,101
lucky_number_slevin,2006,38,8,12,4,1,0,7.7,321313,27000000.0,56308881.0,17.0,83.0,0.0,100.0,25.0,75.0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2.0855141111111113,1,107
before_sunrise,1995,22,7,4,2,1,0,8.1,327685,2500000.0,5535405.0,24.0,76.0,0.0,100.0,33.0,67.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.214162,1,48
alex_&_emma,2003,16,6,12,1,1,0,5.5,13771,30000000.0,15368897.0,27.0,73.0,0.0,100.0,8.0,92.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5122965666666667,0,92
sahara,2005,37,3,15,5,1,0,6.0,101662,130000000.0,119269486.0,8.0,92.0,0.0,100.0,25.0,75.0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0.9174575846153846,0,102
underworld:_rise_of_the_lycans,2009,21,7,10,1,1,0,6.5,165253,35000000.0,91353501.0,25.0,75.0,0.0,100.0,9.0,91.0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2.6101000285714284,1,103
around_the_world_in_80_days,2004,50,11,13,4,1,0,5.8,93231,110000000.0,72178895.0,18.0,82.0,0.0,100.0,24.0,76.0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.6561717727272727,0,104
terminator_salvation,2009,46,11,16,4,1,0,6.5,372076,200000000.0,371353001.0,19.0,81.0,0.0,100.0,20.0,80.0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1.856765005,0,103
running_with_scissors,2006,13,20,5,2,1,0,6.1,22952,12000000.0,6754898.0,61.0,39.0,0.0,100.0,29.0,71.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5629081666666667,0,107
